development_name,building_number,address,interruptions,planned,reported_datetime,restoration_hours,buildings,units,population
EAST RIVER,4,"430 EAST 105TH STREET NEW YORK, NY 10029",Elevator NO SERVICE,Unplanned,2020-01-24 15:04:00,12,1,80,152
FOREST,1,"1000 TRINITY AVENUE BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 11:45:00,16,1,108,221
FORT INDEPENDENCE STREET-HEATH AVENUE,1,"3353 FORT INDEPENDENCE STREET BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 06:57:00,6,1,90,235
GARVEY (GROUP A),2,"10 AMBOY STREET BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 20:30:00,3,1,109,359
GARVEY (GROUP A),3,"1400 EAST NEW YORK AVENUE BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:07:00,6,1,111,329
GLENMORE PLAZA,4,"109 CHRISTOPHER AVENUE BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 14:02:00,2,1,124,216
GOMPERS,2,"70 PITT STREET NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 16:31:00,18,1,119,284
GRANT,4,"75 LA SALLE STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 21:23:00,32,1,226,501
GRAVESEND,3,"2703 WEST 33RD STREET BROOKLYN, NY 11224",Elevator NO SERVICE,Unplanned,2020-01-24 17:16:00,4,1,40,105
GRAVESEND,13,"2719 WEST 33RD STREET BROOKLYN, NY 11224",Elevator NO SERVICE,Unplanned,2020-01-25 08:57:00,5,1,46,88
HABER,1,"3058 WEST 24TH STREET BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 13:13:00,21,1,128,142
HOLMES TOWERS,2,"405 EAST 92ND STREET NEW YORK, NY 10128",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 21:08:00,6,1,273,475
INGERSOLL,21,"36 SAINT EDWARDS STREET BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-24 15:27:00,6,1,88,181
INGERSOLL,23,"8 MONUMENT WALK BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-25 12:48:00,3,1,88,184
JEFFERSON,17,"2237 2ND AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 09:48:00,22,1,54,96
JEFFERSON,2,"322 EAST 115TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 18:04:00,12,1,54,124
JEFFERSON,9,"325 EAST 112TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 09:06:00,18,1,54,107
JOHNSON,5,"1830 LEXINGTON AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Planned,2020-01-24 08:00:00,11,1,94,240
JOHNSON,3,"123 EAST 112TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:51:00,24,1,108,265
JOHNSON,7,"165 EAST 112TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 08:55:00,29,1,108,209
JOHNSON,10,"1829 LEXINGTON AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Planned,2020-01-24 08:00:00,24,1,104,239
JOHNSON,10,"1839 LEXINGTON AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Planned,2020-01-24 08:00:00,8,1,105,242
JOHNSON,6,"1840 LEXINGTON AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Planned,2020-01-24 08:00:00,8,1,91,229
JOHNSON,8,"2070 3RD AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 06:26:00,5,1,112,237
JUSTICE SONIA SOTOMAYOR HOUSES,6,"1050 SOUNDVIEW AVENUE BRONX, NY 10472",Elevator NO SERVICE,Unplanned,2020-01-23 21:57:00,5,1,54,108
JUSTICE SONIA SOTOMAYOR HOUSES,7,"1670 WATSON AVENUE BRONX, NY 10472",Elevator NO SERVICE,Unplanned,2020-01-24 08:07:00,18,1,54,109
JUSTICE SONIA SOTOMAYOR HOUSES,24,"1810 WATSON AVENUE BRONX, NY 10472",Elevator NO SERVICE,Unplanned,2020-01-24 13:21:00,2,1,48,105
LA GUARDIA,1,"45 RUTGERS STREET NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 10:47:00,4,1,124,282
LINCOLN,4,"2101 MADISON AVENUE NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 19:36:00,24,1,126,288
LINCOLN,1,"60 EAST 135TH STREET NEW YORK, NY 10037",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 13:29:00,3,1,126,265
LINDEN,10,"190 WORTMAN AVENUE BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,2020-01-23 18:25:00,6,1,63,121
LINDEN,6,"225 WORTMAN AVENUE BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,2020-01-25 09:12:00,2,1,63,178
MANHATTANVILLE,3,"1420 AMSTERDAM AVENUE NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 18:58:00,17,1,215,519
MANHATTANVILLE,6,"95 OLD BROADWAY NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 17:39:00,12,1,207,477
MANHATTANVILLE REHAB (GROUP 3),1,"529 WEST 133RD STREET NEW YORK, NY 10027",Elevator NO SERVICE,Unplanned,2020-01-24 22:16:00,4,1,38,86
MARBLE HILL,3,"49 WEST 225TH STREET BRONX, NY 10463",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 16:12:00,14,1,153,302
MARCY,20,"622 PARK AVENUE BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,2020-01-24 16:19:00,3,1,24,41
MARCY,17,"642 PARK AVENUE BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Planned,2020-01-24 10:00:00,9,1,22,65
METRO NORTH PLAZA,2,"310 EAST 102ND STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 15:23:00,19,1,130,248
MITCHEL,1,"303 EAST 135TH STREET BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 11:33:00,8,1,173,464
MITCHEL,4,"205 ALEXANDER AVENUE BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 10:55:00,5,1,171,383
MOORE,2,"525 JACKSON AVENUE BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 14:50:00,15,1,135,395
MOORE,2,"535 JACKSON AVENUE BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 14:08:00,13,1,97,157
MORRIS II,11,"1420 WASHINGTON AVENUE BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 10:19:00,4,1,126,333
MORRISANIA,2,"1285 WASHINGTON AVENUE BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 03:49:00,3,1,102,248
MORRISANIA AIR RIGHTS,2,"3125 PARK AVENUE BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 08:36:00,3,1,177,567
MOTT HAVEN,5,"350 EAST 143RD STREET BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 10:15:00,9,1,130,348
MOTT HAVEN,2,"383 EAST 141ST STREET BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 08:39:00,4,1,130,319
MOTT HAVEN,8,"383 EAST 143RD STREET BRONX, NY 10454",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 10:08:00,2,1,117,273
OCEAN BAY APARTMENTS (OCEANSIDE),7,"319 BEACH 54TH STREET QUEENS, NY 11692",Elevator NO SERVICE,Unplanned,2020-01-24 11:10:00,1,1,30,45
O'DWYER GARDENS,4,"2940 WEST 33RD STREET BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 06:48:00,5,1,93,148
PATTERSON,6,"271 EAST 143RD STREET BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 01:33:00,3,1,104,208
PATTERSON,9,"291 EAST 143RD STREET BRONX, NY 10451",Elevator NO SERVICE,Unplanned,2020-01-24 16:24:00,20,1,42,121
PATTERSON,12,"315 EAST 143RD STREET BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 07:58:00,3,1,104,232
PATTERSON,3,"320 MORRIS AVENUE BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 13:59:00,2,1,104,232
PATTERSON,5,"370 MORRIS AVENUE BRONX, NY 10451",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:53:00,8,1,104,233
PELHAM PARKWAY,17,"820 ASTOR AVENUE BRONX, NY 10467",Elevator NO SERVICE,Unplanned,2020-01-25 14:58:00,4,1,30,45
POLO GROUNDS TOWERS,1,"2937 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 16:21:00,7,1,208,424
POLO GROUNDS TOWERS,3,"2949 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:58:00,4,1,210,475
POLO GROUNDS TOWERS,3,"2955 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 16:22:00,19,1,208,470
POLO GROUNDS TOWERS,2,"2971 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 07:05:00,7,1,210,468
POLO GROUNDS TOWERS,2,"2979 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 21:50:00,13,1,208,475
POLO GROUNDS TOWERS,4,"2991 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 06:49:00,5,1,180,521
QUEENSBRIDGE NORTH,1,"40-01 12TH STREET QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,2020-01-25 09:37:00,3,1,36,71
QUEENSBRIDGE NORTH,22,"40-14 VERNON BLVD. QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,2020-01-25 13:40:00,4,1,30,70
RANGEL,6,"159-64 HARLEM RIVER DRIVE NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 22:01:00,40,1,112,269
RAVENSWOOD,20,"12-15 36TH AVENUE QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,2020-01-24 14:21:00,4,1,48,98
RAVENSWOOD,26,"12-35 35TH AVENUE QUEENS, NY 11106",Elevator NO SERVICE,Unplanned,2020-01-24 20:30:00,2,1,48,97
RED HOOK EAST,9,"129 LORRAINE STREET BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,2020-01-24 18:12:00,5,1,30,53
RED HOOK WEST,24,"486 COLUMBIA STREET BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,2020-01-24 10:11:00,2,1,30,47
RED HOOK WEST,1,"80 DWIGHT STREET BROOKLYN, NY 11231",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:10:00,11,1,97,218
RED HOOK WEST,1,"82 DWIGHT STREET BROOKLYN, NY 11231",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 06:45:00,4,1,104,233
RED HOOK WEST,25,"9 LORRAINE STREET BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,2020-01-25 14:41:00,4,1,36,71
REDFERN,1,"14-60 BEACH CHANNEL DRIVE QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,2020-01-24 07:44:00,7,1,36,75
REDFERN,1,"14-64 BEACH CHANNEL DRIVE QUEENS, NY 11691",Elevator NO SERVICE,Unplanned,2020-01-24 07:29:00,3,1,36,84
RIIS,6,"1115 FDR DRIVE NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 12:44:00,25,1,117,250
RIIS II,19,"108 AVENUE D NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 08:32:00,11,1,117,225
RUTLAND TOWERS,1,"955 RUTLAND ROAD BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,2020-01-25 07:55:00,2,1,61,99
SAINT NICHOLAS,13,"200 WEST 131ST STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 11:44:00,8,1,108,255
SAINT NICHOLAS,9,"225 WEST 129TH STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 06:29:00,21,1,110,324
SAINT NICHOLAS,2,"240 WEST 129TH STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 11:05:00,28,1,109,233
SAINT NICHOLAS,8,"2410 F DOUGLASS BOULEVARD NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:52:00,4,1,108,241
SEDGWICK,3,"160 WEST 174TH STREET BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 05:50:00,8,1,116,210
SHEEPSHEAD BAY,1,"2364 BATCHELDER STREET BROOKLYN, NY 11229",Elevator NO SERVICE,Unplanned,2020-01-23 22:37:00,3,1,30,67
SOUNDVIEW,3,"1686 SEWARD AVENUE BRONX, NY 10473",Elevator NO SERVICE,Unplanned,2020-01-24 13:33:00,2,1,43,97
SOUTH JAMAICA II,23,"109-10 160TH STREET QUEENS, NY 11433",Elevator NO SERVICE,Unplanned,2020-01-25 15:45:00,3,1,52,105
STAPLETON,3,"27 WARREN ST. STATEN ISLAND, NY 10304",Elevator NO SERVICE,Unplanned,2020-01-23 17:03:00,9,1,64,173
SUMNER,3,"4 LEWIS AVENUE BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,2020-01-24 11:40:00,3,1,36,72
SURFSIDE GARDENS,3,"2940 WEST 31ST STREET BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 02:29:00,13,1,115,379
TILDEN,7,"305 LIVONIA AVENUE BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 21:03:00,17,1,126,313
TOMPKINS,8,"77 TOMPKINS AVENUE BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 16:54:00,14,1,123,349
VAN DYKE I,7,"419 BLAKE AVENUE BROOKLYN, NY 11212",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 13:23:00,3,1,112,238
VLADECK,19,"345 MADISON STREET NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,2020-01-24 10:18:00,2,1,30,59
VLADECK,1,"72 GOUVERNEUR STREET NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,2020-01-24 12:35:00,3,1,36,63
WAGNER,4,"445 EAST 120TH STREET NEW YORK, NY 10035",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 22:45:00,13,1,122,297
WALD,10,"920 EAST 6TH STREET NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 08:39:00,4,1,117,248
WASHINGTON,12,"1851 3RD AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 10:27:00,4,1,108,248
WASHINGTON,4,"1905 2ND AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 14:05:00,20,1,108,235
WEBSTER,4,"421 EAST 168TH STREET BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 12:46:00,2,1,121,350
WHITMAN,7,"117 NORTH OXFORD WALK BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-24 12:51:00,2,1,102,258
WHITMAN,6,"127 NORTH PORTLAND AVENUE BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-25 16:40:00,3,1,30,72
WHITMAN,4,"149 NORTH PORTLAND AVENUE BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-24 08:22:00,32,1,42,85
WHITMAN,8,"84 CARLTON AVENUE BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-24 07:22:00,3,1,48,96
WILSON,2,"425 EAST 105TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 11:28:00,4,1,94,351
WILSON,3,"435 EAST 105TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 12:46:00,30,1,152,417
WOODSIDE,5,"50-20 31ST AVENUE QUEENS, NY 11377",Elevator NO SERVICE,Unplanned,2020-01-24 15:55:00,4,1,24,47
WSUR (SITE C) 589 AMSTERDAM AVENUE,1,"589 AMSTERDAM AVENUE NEW YORK, NY 10024",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 18:17:00,35,1,158,335
WYCKOFF GARDENS,2,"185 NEVINS STREET BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 08:53:00,2,1,174,371
